fairness	Честная игра
freezing_text	1. Для получения дивидендов вы должны заморозить свои 888 токенов до конца уровня и разморозить их после окончания уровня. <br>2. Дивиденды будут начисляться только на те 888 токенов, которые были заморожены.<br>3. Одним из них является минимальное количество 888 токенов, которые должны быть заморожены. <br>4. Когда 888 токенов размораживаются после окончания уровня, дивиденды будут автоматически начисляться внутренней транзакцией через смарт-контракт. <br>5. Если у вас уже есть замороженные токены на вашем аккаунте при замораживании новой порции, предыдущая порция будет автоматически разморозлена, и все количество токенов будет заморожено. Если на предыдущую часть токенов были начислены дивиденды, они будут автоматически переведены на кошелек игрока посредством внутренней транзакции в рамках смарт-контракта.<br>6. Процессы замораживания и размораживания токенов 888 потребуют несколько TRX, поэтому при совершении транзакций их необходимо иметь в своем кошельке.
withdraw	Вывести
token_about	888 Token
token_title_1	Что такое 888 Токен и для чего он используется? 
token_text_1	888 Токен - это токен TRC20 на блокчейне TRON. В общей сложности может быть добыто 100 000 000 единиц 888 Токенов (для получения информации о распространении токена 888, пожалуйста, проверьте наш WhitePaper). Держателям токенов 888 будут выплачены дивиденды в TRX в зависимости от того, сколько у них 888 Токенов.
token_title_2	Что такое дивиденды? И почему размер дивидендов изменяется?
token_text_2	Дивиденды распределяются из чистого дохода 888TRON.com. Пул дивидендов будет постоянно изменяться в зависимости от выигрышей и проигрышей пользователей на 888TRON.com. 
token_title_3	Можно ли купить 888 Токен? 
token_text_3	888 Токен нельзя купить напрямую. Его можно добыть только путем игры на 888TRON.com. В будущем 888 Токен будет доступен на DEX и других крипто биржах.
token_title_4	Я снял Токены 888, где я могу их увидеть?
token_text_4	Токены 888 можно добавить в Tronlink. Для этого выберите раздел Токены и добавьте адрес "TLvDJcvKJDi3QuHgFbJC6SeTj3UacmtQU3". После этого вы можете распоряжаться ими.
token_title_5	После того, как мне будут начислены дивиденды, мои 888 токены будут сожжены?
token_text_5	Нет, 888 Токены будут с вами навсегда, если вы не решите обменять их на крипто бирже. Пока на вашем кошельке есть 888 Токены, вы получаете дивиденды от 888TRON.com. Если количество 888 Токенов, которым вы владеете, со временем не меняется, сумма дивидендов, которые вы получаете, может со временем уменьшаться.
token_title_6	Сколько стоит 888 Токен прямо сейчас? Могу ли я обменять 888 Токены сейчас? 
token_text_6	Вы можете проверить вкладку «Дивиденды», чтобы найти информацию в реальном времени о 888 Токене.  Цена 888 Токена будет зависеть от всей платформы 888TRON.com и сообщества. 888 Токены можно обменять на крипто бирже в будущем. 
token_title_7	Нужно ли мне снимать 888 Токены? 
token_text_7	Для получения дивидендов 888 Токены необходимо снять, затем заморозить до окончания периода распределения дивидендов и разморозить после его окончания. Не замороженные токены не получают дивидендов. Дивиденды переводятся автоматически на ваш счет смартконтрактом после разморозки.
alreadyExist	Уже существует!
copy_link	Копировать ссылку
noMoney	Недастаточно TRX на вашем кошельке.
reward_sum	Вознаграждение:
cards	Dice52
prediction	Прогноз
result	Результат
draw_under	Карта младше
draw_equal	Карта равна
draw_over	Карта старше
payout_win	Выплата:
multiplayer	Множитель:
win_chance	Шанс
how_dice	4. В колоде 52 карты. Младшая карта 2, старшая карта А (туз). Игрок выбирает любую карту из колоды. Игрок делает ставку на одно из трех событий: следующая карта - одна из 52 карт, розданная случайным образом, будет БОЛЬШЕ, или МЕНЬШЕ или РАВНА по рангу первой карте, выбранной игроком. Масти в игре значение имеют. В случае угадывания события, игроку производится выплата из расчета величины Ставки, умноженной на коэффициент, соответствующий выбранной игроком карте и выбранного события для ставки.
total_mined	Всего добыто
unfreezeToWithdraw	Unfreeze Tokens 888 to withdraw
subscribe	Подписаться
your_email	Ваш e-mail
still_have_questions	У вас остались вопросы? 
send_email	Отправьте нам e-mail:
bet_tooltip	Маленькие ставки (50-100 ТРХ) потребляют такую же энергию как и большие (~0,5 TRX), но приносят меньше токенов и доход. 
support	Техническая поддержка:
exchange	Биржа
leaderboard	Leaderboard
